"asset_id","llc_name","portfolio","address","year_built","units_count","unit_number","bedroom_count"
"S0037","SREP PARK 10 LLC","Park Portfolio","169 Seymour St",,"11","3N","2"
"S0037","SREP PARK 10 LLC","Park Portfolio","169 Seymour St",,"11","3S","2"
"S0037","SREP PARK 10 LLC","Park Portfolio","169 Seymour St",,"11","3W","2"
"S0037","SREP PARK 10 LLC","Park Portfolio","169 Seymour St",,"11","4N","2"
"S0037","SREP PARK 10 LLC","Park Portfolio","169 Seymour St",,"11","4S","2"
"S0037","SREP PARK 10 LLC","Park Portfolio","169 Seymour St",,"11","4W","2"
"S0038","SREP PARK 10 LLC","Park Portfolio","170 Seymour St",,"6","1N","2"
"S0038","SREP PARK 10 LLC","Park Portfolio","170 Seymour St",,"6","1S","2"
"S0038","SREP PARK 10 LLC","Park Portfolio","170 Seymour St",,"6","2S","2"
"S0038","SREP PARK 10 LLC","Park Portfolio","170 Seymour St",,"6","3N","2"
"S0038","SREP PARK 10 LLC","Park Portfolio","170 Seymour St",,"6","3S","2"
"S0016","SREP NORTHEND LLC","North End Portf.","1721 - 1739 Main St",,"8",,
,,,"1721-1739 Main St",,,"1721","2"
,,,"1721-1739 Main St",,,"1723","2"
,,,"1721-1739 Main St",,,"1725","2"
,,,"1721-1739 Main St",,,"1727","2"
,,,"1721-1739 Main St",,,"1729","2"
,,,"1721-1739 Main St",,,"1731","2"
,,,"1721-1739 Main St",,,"1733","2"
,,,"1721-1739 Main St",,,"1735","2"
"S0027","SREP PARK 7 LLC","Park Portfolio","178 Affleck St",,"4","1","2"
"S0027","SREP PARK 7 LLC","Park Portfolio","178 Affleck St",,"4","2","2"
"S0027","SREP PARK 7 LLC","Park Portfolio","178 Affleck St",,"4","3","2"
"S0027","SREP PARK 7 LLC","Park Portfolio","178 Affleck St",,"4","4","2"
"S0027","SREP PARK 7 LLC","Park Portfolio","178 Affleck St",,"4","4S","2"
"S0025","SREP PARK 6 LLC","Park Portfolio","179 Affleck St",,"8","1N","2"
